,cluster,week,day,hour,minute,wk_ago,day_ago,target
2797,0,38,3,11,0,30,50,30
2798,0,38,3,11,10,20,20,0
2799,0,38,3,11,20,30,20,20
2800,0,38,3,11,30,50,10,20
2801,0,38,3,11,40,30,10,20
2802,0,38,3,11,50,20,20,20
2803,0,38,3,12,0,30,20,0
2804,0,38,3,12,10,20,20,0
2805,0,38,3,12,20,10,20,0
2806,0,38,3,12,30,50,20,0
2807,0,38,3,12,40,30,10,0
2808,0,38,3,12,50,30,20,0
2809,0,38,3,13,0,20,20,10
2810,0,38,3,13,10,10,10,10
2811,0,38,3,13,20,10,10,10
2812,0,38,3,13,30,20,10,30
2813,0,38,3,13,40,20,30,30
2814,0,38,3,13,50,30,30,20
2815,0,38,3,14,0,30,30,0
2816,0,38,3,14,10,50,30,0
2817,0,38,3,14,20,50,20,0
2818,0,38,3,14,30,20,30,0
2819,0,38,3,14,40,30,20,0
2820,0,38,3,14,50,30,20,0
2821,0,38,3,15,0,50,20,0
2822,0,38,3,15,10,30,20,0
2823,0,38,3,15,20,20,20,0
2824,0,38,3,15,30,30,10,0
2825,0,38,3,15,40,20,10,0
2826,0,38,3,15,50,20,10,0
2827,0,38,3,16,0,20,20,0
2828,0,38,3,16,10,20,20,10
2829,0,38,3,16,20,20,10,0
2830,0,38,3,16,30,10,20,10
2831,0,38,3,16,40,10,20,10
2832,0,38,3,16,50,10,30,0
2935,0,38,4,10,0,10,10,20
2936,0,38,4,10,10,10,10,50
2937,0,38,4,10,20,10,20,30
2938,0,38,4,10,30,10,20,30
2939,0,38,4,10,40,10,20,20
2940,0,38,4,10,50,10,30,10
2941,0,38,4,11,0,0,30,20
2942,0,38,4,11,10,0,0,10
2943,0,38,4,11,20,0,20,20
2944,0,38,4,11,30,0,20,30
2945,0,38,4,11,40,0,20,20
2946,0,38,4,11,50,10,20,30
2947,0,38,4,12,0,10,0,30
2948,0,38,4,12,10,10,0,10
2949,0,38,4,12,20,10,0,30
2950,0,38,4,12,30,10,0,30
2951,0,38,4,12,40,10,0,20
2952,0,38,4,12,50,20,0,30
2953,0,38,4,13,0,30,10,20
2954,0,38,4,13,10,10,10,20
2955,0,38,4,13,20,20,10,20
2956,0,38,4,13,30,20,30,50
2957,0,38,4,13,40,0,30,30
2958,0,38,4,13,50,0,20,20
2959,0,38,4,14,0,20,0,20
2960,0,38,4,14,10,10,0,60
2961,0,38,4,14,20,0,0,50
2962,0,38,4,14,30,10,0,50
2963,0,38,4,14,40,10,0,20
2964,0,38,4,14,50,10,0,20
2965,0,38,4,15,0,10,0,20
2966,0,38,4,15,10,10,0,30
2967,0,38,4,15,20,10,0,10
2968,0,38,4,15,30,10,0,20
2969,0,38,4,15,40,30,0,20
2970,0,38,4,15,50,10,0,10
2971,0,38,4,16,0,20,0,30
2972,0,38,4,16,10,10,10,30
2973,0,38,4,16,20,10,0,20
2974,0,38,4,16,30,10,10,20
2975,0,38,4,16,40,10,10,20
2976,0,38,4,16,50,10,0,20
3367,0,39,0,10,0,10,0,20
3368,0,39,0,10,10,30,0,10
3369,0,39,0,10,20,30,0,30
3370,0,39,0,10,30,10,0,50
3371,0,39,0,10,40,20,0,30
3372,0,39,0,10,50,10,0,30
3373,0,39,0,11,0,0,0,50
3374,0,39,0,11,10,0,0,20
3375,0,39,0,11,20,0,0,50
3376,0,39,0,11,30,0,0,60
3377,0,39,0,11,40,10,0,50
3378,0,39,0,11,50,10,0,50
3379,0,39,0,12,0,0,0,30
3380,0,39,0,12,10,20,0,30
3381,0,39,0,12,20,20,0,50
3382,0,39,0,12,30,20,0,50
3383,0,39,0,12,40,0,0,30
3384,0,39,0,12,50,0,0,20
3385,0,39,0,13,0,0,0,30
3386,0,39,0,13,10,10,0,70
3387,0,39,0,13,20,20,0,100
3388,0,39,0,13,30,10,0,30
3389,0,39,0,13,40,10,0,30
3390,0,39,0,13,50,30,0,30
3391,0,39,0,14,0,10,0,50
3392,0,39,0,14,10,10,0,50
3393,0,39,0,14,20,10,0,50
3394,0,39,0,14,30,10,0,60
3395,0,39,0,14,40,10,0,50
3396,0,39,0,14,50,0,0,50
3397,0,39,0,15,0,10,0,30
3398,0,39,0,15,10,20,0,50
3399,0,39,0,15,20,10,0,50
3400,0,39,0,15,30,50,0,50
3401,0,39,0,15,40,50,0,70
3402,0,39,0,15,50,50,0,50
3403,0,39,0,16,0,50,0,50
3404,0,39,0,16,10,60,0,70
3405,0,39,0,16,20,50,0,60
3406,0,39,0,16,30,30,0,50
3407,0,39,0,16,40,50,0,50
3408,0,39,0,16,50,30,0,60
3511,0,39,1,10,0,20,20,30
3512,0,39,1,10,10,20,10,30
3513,0,39,1,10,20,30,30,50
3514,0,39,1,10,30,20,50,60
3515,0,39,1,10,40,20,30,20
3516,0,39,1,10,50,20,30,70
3517,0,39,1,11,0,20,50,60
3518,0,39,1,11,10,10,20,20
3519,0,39,1,11,20,30,50,20
3520,0,39,1,11,30,20,60,20
3521,0,39,1,11,40,30,50,0
3522,0,39,1,11,50,20,50,10
3523,0,39,1,12,0,20,30,0
3524,0,39,1,12,10,20,30,10
3525,0,39,1,12,20,20,50,10
3526,0,39,1,12,30,20,50,30
3527,0,39,1,12,40,20,30,30
3528,0,39,1,12,50,20,20,30
3529,0,39,1,13,0,20,30,50
3530,0,39,1,13,10,10,70,30
3531,0,39,1,13,20,10,100,20
3532,0,39,1,13,30,10,30,30
3533,0,39,1,13,40,10,30,50
3534,0,39,1,13,50,10,30,30
3535,0,39,1,14,0,10,50,30
3536,0,39,1,14,10,20,50,30
3537,0,39,1,14,20,10,50,20
3538,0,39,1,14,30,20,60,30
3539,0,39,1,14,40,0,50,30
3540,0,39,1,14,50,0,50,30
3541,0,39,1,15,0,30,30,30
3542,0,39,1,15,10,20,50,30
3543,0,39,1,15,20,20,50,30
3544,0,39,1,15,30,20,50,50
3545,0,39,1,15,40,20,70,50
3546,0,39,1,15,50,20,50,50
3547,0,39,1,16,0,10,50,50
3548,0,39,1,16,10,10,70,30
3549,0,39,1,16,20,10,60,60
3550,0,39,1,16,30,10,50,30
3551,0,39,1,16,40,10,50,20
3552,0,39,1,16,50,20,60,20
3655,0,39,2,10,0,30,30,60
